Steps,HeartRate,Calories,SleepHours,ScreenTime,StressLevel
11173,117,3219,6.554680311125132,6.133485928307777,46.19
1995,64,1352,4.38472350455681,9.157187899860816,57.56
14103,64,1707,7.1699340538760845,8.056556018456309,19.24
12534,67,1690,6.894483839306876,6.602642815714444,19.85
13743,123,1544,7.788213898293546,3.8355084694683943,39.24
8629,69,3135,9.126227692276206,5.87692155948598,31.42
12990,97,2961,8.973527366606934,1.8212035717382982,31.81
10467,67,1420,9.17645370841299,7.1105088185260295,28.05
2016,84,3138,4.968293582142206,7.525864170078858,61.41
8869,125,3142,4.289391839836128,9.685284606189269,68.51
7439,109,1922,5.313660202978691,3.3435762287056447,45.49
8892,126,1727,8.870511036597888,1.1661077713872037,43.3
7863,108,2722,9.33232084774093,5.9104761798443555,47.96
8916,95,2864,8.655949706422856,7.36111453957133,39.64
9529,127,1680,4.160106326765262,8.113667282946892,62.76
1878,100,3071,9.184567988358758,2.7436503972232953,56.69
10268,121,2662,6.040148164104716,3.355775821333213,42.03
5887,69,2625,3.555861744574122,5.613318327405667,45.55
13185,80,1544,6.154362444489162,3.9754072897300166,26.31
5859,95,1244,3.7764150180528056,8.744603379287005,64.44
7331,71,3268,6.763267526966706,5.263841383648482,31.18
9571,61,2857,5.531324164622308,8.196207796918028,28.69
9684,72,3087,6.340609601564292,6.225577844341184,27.89
8208,112,3295,7.1790221644587024,7.9578112745540075,48.73
6276,91,2714,8.71280657490692,3.9940568787729145,38.6
3062,75,2201,7.471409458831571,8.4827495973728,36.65
13076,91,2233,6.104293210869084,3.4711508399591944,25.72
1064,91,3240,8.41656712202219,5.914889272029617,57.08
9006,70,1473,8.933492825438794,2.926064018564868,23.92
3568,69,2155,4.2185597985931835,5.27973869463574,44.61
6463,74,2979,6.691597865316749,3.863576885578328,30.67
14440,76,1580,5.207071758454665,3.4003308757349284,28.19
3027,99,2552,3.782367187261684,9.702865162252337,70.0
3695,77,1678,7.5112801706839125,2.4406669493805757,30.78
10687,114,3262,8.676624664755353,8.085932537116557,49.32
6258,84,1715,4.4774159268643645,9.857484635348934,53.27
6618,118,1390,8.374481945743403,1.1791133536607004,45.68
7736,81,2391,8.62037440122165,7.291246726378855,32.67
1391,89,2360,8.9860426559989,3.276206250006584,47.53
14986,103,3401,5.091710534516315,1.36439041895474,41.76
13706,91,2611,8.923718391139335,4.6260062106096775,30.5
13666,110,1471,5.423976528418594,9.416960291537876,51.54
6892,105,1342,6.814028080733017,1.1058858493029793,38.74
4561,80,3112,3.803044824993693,6.290971227368035,57.11
11470,91,2292,3.7632865302124614,5.512568307357919,40.95
7184,98,3494,7.822239276393217,8.860457479339427,48.18
4099,71,1987,6.166879867866746,1.7560154306856308,30.4
7278,106,3326,5.037754252215305,7.133734268979853,58.19
9392,77,2881,4.642480976149461,7.120987285899496,39.01
14067,80,1822,7.519720945155308,7.021720151760549,22.11
4104,72,2137,3.502409264152039,9.481010454415333,54.58
8215,80,2318,8.335347015181124,8.407787761061924,30.73
13790,67,1816,3.975497636779573,1.3777545361915542,25.64
3454,105,2231,4.648937689448717,5.239745656340618,58.0
12837,66,1266,5.817418371794537,4.581577505812001,25.04
9996,82,1390,6.409152438296622,3.7913249898172188,26.81
3731,81,1720,5.629970694883651,5.0620305263868755,45.31
11965,81,2189,5.424272989905763,4.457747664333797,26.15
9154,88,2340,9.283496072439132,4.891005098907987,31.45
10762,72,2834,7.349478087460366,9.813356790477782,25.49
6056,61,2387,3.6405977322043293,1.7976967727462267,33.72
9110,88,1575,6.081055450665879,9.300077828548568,40.08
14773,111,1852,8.750052198463822,5.32213042123924,38.77
11882,86,1748,5.308737118464007,6.61368020949587,35.5
4840,109,2297,4.067338068646329,8.471646699559244,64.52
2028,82,1272,8.050308629539508,4.2441672623433,45.61
8385,103,1398,7.136082991616488,4.873797172791702,37.77
1502,81,2981,6.921875046959023,4.685666322508426,46.17
7910,102,1771,3.8214593576444473,4.372579202821838,51.48
13685,96,1990,4.342994058773104,9.329763894822054,46.82
10062,120,2838,7.235296377278683,8.460369020737108,44.64
7938,115,3031,4.746943048753015,1.980999908766785,51.86
5488,62,3055,6.524420478490546,1.9731101722938642,26.55
1206,122,2710,6.769290116176361,4.850825633676921,63.41
6134,78,2374,5.201043141625636,1.8879163905952816,33.04
6977,82,1378,9.190550933248957,6.571837857440077,41.62
8721,88,3444,8.554784641013452,2.293224465355605,33.48
8035,89,1934,7.834241045796791,5.70135937570121,29.61
2484,98,3336,3.9679631984564545,1.0649795230334598,63.07
8858,84,1998,4.136780115854116,3.8493671357138206,37.28
1863,67,1987,6.456688075189734,7.094716513053899,40.84
3790,117,1408,4.464280095145914,5.356350462050636,69.26
8408,75,1692,9.369592781176845,9.804425373990894,38.37
9755,60,2857,4.451121404164457,8.866934164595897,34.21
6116,64,1931,6.424807012783844,4.2316370113883615,25.22
13383,62,2329,5.684726341049032,1.4093788732504713,13.04
7019,124,2805,7.336318528724588,8.610636701035169,53.27
2757,63,1793,4.27421845333655,9.201108792832043,52.45
8574,123,2415,6.081898568254346,8.385646540771331,51.89
7374,69,1524,5.148230196842862,2.1515494682778837,30.61
7892,80,2178,8.826509148030128,9.98123620971059,35.62
2678,105,2949,3.7435142728081705,3.3272579939749645,67.13
4242,86,3050,8.982364964038755,7.51784421527533,50.76
5636,125,2690,8.497964831318003,9.172313887021494,61.28
2059,100,2093,5.285424298644893,3.121184028976385,53.57
7668,72,2590,8.235743928062629,9.174326992093594,31.41
14471,68,1343,3.6872813620324854,3.7853342127538028,34.76
10914,95,1583,9.301193301760362,9.787719001456505,43.43
12506,117,3463,6.659569655538736,3.5313401834242715,43.64
4157,113,1416,5.319686156392672,9.580922422820517,68.63
6915,71,2715,5.675499275568063,1.4819018580340741,27.73
11817,73,3430,3.898432120762984,7.383448105028317,44.12
11921,93,2690,9.436097084252236,5.789000204533034,36.28
10789,112,2835,3.735751670904155,5.300893694104576,53.94
12252,79,2367,7.429442738887154,3.01144882830256,14.3
3693,75,1310,6.15641556623875,7.350362107988428,46.79
14083,129,2213,9.19349730913229,2.717285423016764,42.21
14339,115,1431,4.975998441840771,5.975576163862915,51.07
14931,117,2914,6.692520943628068,3.2792082673622573,38.88
4627,63,2955,6.394137251496518,9.600592418032205,40.46
10555,63,2777,7.717198664300608,1.2576807445208753,8.7
11173,79,2496,3.908061391714523,2.7975545210011292,32.58
6450,69,3420,4.662734780140129,3.1807954574870294,41.07
2663,83,2172,4.787388920557099,4.726610431910348,49.07
10721,85,2230,7.928904529050138,3.0945721768304817,17.73
11230,96,1717,4.6348321779604404,5.422141812419067,41.6
6592,113,2113,6.94095058334586,8.85218970932685,47.98
12494,80,3462,4.791462923005723,7.4085707926825375,42.93
11429,97,3381,8.669749700503871,6.219657824815999,40.12
8392,105,3144,9.153112726937831,1.8010286018441168,41.53
14696,63,2662,6.610957849653443,7.245928975503481,20.15
14688,119,3072,5.61385330525507,2.4977285587984586,45.17
2306,116,2507,4.904346650104995,8.077306473655282,70.69
13221,104,2098,3.7986860091382626,3.2505108265913787,43.02
7776,79,2298,5.111000457184972,4.753438554888108,33.53
11867,76,2389,7.425414679671907,4.154231820861352,14.92
14260,63,2412,6.701701587855265,8.72932523207371,20.0
6864,73,3325,9.164247669685565,2.1389001284206732,33.59
10474,62,1887,5.877663574950203,6.090803941463097,20.51
8526,117,3268,7.663180053970367,2.27855448498756,40.56
9901,114,1765,6.435936484850728,7.34316252518968,43.07
6575,63,2407,6.57545729554527,9.14570315015033,29.78
6530,83,3094,5.106645887624705,4.911468884805281,44.74
13936,93,2026,6.229704661051998,5.392830342384783,29.92
5413,89,2551,6.324709982076244,9.346805528344861,46.49
4748,78,3426,7.739855130493604,5.688922497844214,40.01
14545,90,3011,9.143839995116682,5.388385942446049,35.4
13971,119,2282,5.475927664895026,6.204961924338737,45.34
1663,119,2550,3.7532028114877907,7.2030676272665675,78.36
2998,78,2844,6.477770753003838,1.9619503757832826,38.23
8994,108,1390,6.766767992895011,8.389994749673644,45.57
12637,122,2423,4.510643306791492,4.919545247079333,50.61
12935,81,2535,8.0627876376564,1.6511365890773697,16.87
14919,83,1907,9.409574650648949,8.07564402278392,33.77
2495,89,1578,9.174648302050766,4.392549745176449,50.94
4304,117,1586,4.682636232941913,1.9033074558554854,60.33
4763,90,3484,8.752179439404564,6.704011355889255,52.14
6232,123,1815,7.726961818470109,8.921182180902775,53.9
2853,78,2742,6.223079382841469,8.989781584725877,49.62
14808,107,3248,6.743665965948374,9.618971273280758,46.41
7585,104,2954,8.597601049894749,8.809349137900192,49.4
13851,114,1663,6.3808096378302395,1.019268274109277,34.4
2291,114,2166,5.739244214630761,4.422170497720512,58.11
4581,77,1371,6.459484958155915,8.366883219149528,44.96
12649,122,2346,6.974778824210294,4.296277053986268,36.77
8554,106,2042,4.634465922670093,6.4139365574173555,48.49
8280,116,2521,8.905446381601944,6.456852526370788,47.48
2636,104,3108,7.545121692977683,4.285227736349407,50.91
4696,92,1889,7.299613504024934,9.140265345531589,44.08
12191,76,2707,4.096977357083829,5.529055108475059,36.07
12344,129,3412,7.1250436290355506,5.183057853437507,48.54
1698,63,3224,4.225763973430954,9.977623710957063,61.26
11352,79,2922,3.972186051172394,5.44150327665355,39.5
13289,106,1582,6.66386537385436,2.6055842673572296,32.56
5737,74,3456,5.91671320427897,5.617624805770943,42.66
14877,129,2612,7.032861620937339,8.326150619679371,47.57
1854,106,2783,4.035333008343431,7.991742942084533,73.87
9164,68,3471,6.08589837708355,8.09723588597624,34.51
6855,75,3250,4.548720290270948,7.372214055981206,48.18
8392,128,1571,9.4226005155447,3.287960461600194,52.55
7528,120,2910,6.866901274611046,8.758756772562084,53.66
12666,69,2669,7.624621165645204,9.040991188386386,21.65
14949,109,1810,5.452509684095647,2.7473742695669414,38.36
6249,62,1315,4.068433488676065,2.174100728962545,37.46
6172,129,1646,9.35522517670122,9.780444717302009,67.35
2707,110,2591,5.217554212299099,8.81491567285331,67.3
11969,78,2540,6.042849111041445,9.03912532488952,31.17
6791,101,1614,7.39918353021545,8.977387461619557,44.07
10925,94,3008,3.6481837861166677,5.875181416303556,48.86
6535,105,2247,8.36155478310372,6.817615629992197,42.84
5931,85,3073,6.7194691401717215,5.908265669202775,40.37
4510,128,2273,5.169303122412932,1.4608571427129617,57.27
1202,123,1917,3.8696479117548153,7.709527768174954,80.89
12447,96,2558,4.474990492846649,5.547988300022922,41.63
5218,108,2805,8.87020315312062,6.829381673112068,54.28
13688,80,1761,7.616145343615346,5.523758244779818,20.81
9958,123,3494,4.999410329821339,5.426301900902104,57.7
5389,64,1586,3.8936045896701774,2.5461019852999014,39.82
3327,129,1901,7.643691874319818,3.5084234362703404,54.54
9004,63,2172,6.934446355806591,2.4296742274956022,10.46
3931,98,2584,5.92711714674941,2.760996660628082,46.42
8777,94,2183,5.681668695140383,9.756796423782744,41.49
1197,60,2711,4.80088565557465,2.378021011949786,43.0
8125,83,1551,7.517667539225106,3.4234338187468687,24.76
2930,116,2924,9.324008166763223,6.315306919647265,65.84
12774,129,3151,4.554291475020955,6.491607186129777,61.35
7287,100,2479,7.08269972009302,2.3857671676944614,31.74
9800,113,3107,6.045110334475857,8.14345683206691,49.68
12464,105,1952,6.180132330467989,8.066825811215425,39.89
10339,119,2224,5.024883680766886,3.13585933783502,42.55
5282,119,1745,8.450809253968515,3.597996724079144,50.73
12589,116,2669,6.411533624883447,9.441890789135472,47.21
3511,90,1278,6.760435113189585,8.431043013815302,52.52
10986,83,2459,5.328565476783955,7.2801732975627145,33.63
1659,95,2088,4.590850794001699,1.7400989935954048,53.87
3811,89,2305,4.015462329216923,4.764376728123182,53.28
8098,83,3190,7.784714845549495,6.033716848691443,32.7
7546,89,2700,4.6774056901271335,2.6867015918539923,40.55
10561,66,2120,7.640452125132787,5.034039238974021,11.44
2986,94,1749,5.842258676281723,6.409232897398209,53.48
14822,114,3261,5.994648805937909,3.946390121038593,44.75
9338,73,1591,6.315064976556631,8.028503370554384,29.88
12411,69,2580,5.706251048765259,8.564046234749249,28.6
3911,75,2173,4.103719863335541,3.9124852249066366,44.71
2734,113,1539,5.357790860017075,8.547914390432116,69.5
2843,129,1956,7.48240616416363,1.9321890949271352,52.33
9680,103,2245,7.494706408813226,8.539561887603906,32.41
3976,104,2138,5.217345843439967,2.3747538850085492,49.37
2959,115,2047,6.260615759346128,1.7463443725875343,51.17
6759,116,1641,4.660683368071625,6.775978639969101,60.76
7694,80,1329,4.762232489179015,5.247436291797649,42.6
3385,127,1796,3.6382825304396444,9.171015403715495,81.42
12111,109,3158,8.880479299446467,4.268702764817643,41.67
5736,92,2705,4.764239990449437,3.5843703709386583,47.31
2802,66,2061,4.86520326161878,5.506614155297785,43.07
9155,129,2198,5.177608595870791,5.103515671917952,50.97
9120,74,2751,4.264448430172574,4.099852415954694,34.77
7616,91,2840,7.335577299088177,7.243671688284957,35.86
6534,79,2711,3.950857719065519,7.836056505225175,50.24
5061,74,2936,4.305214557958101,8.67685572127123,53.0
12561,107,2649,7.368540359540557,9.755709442393085,38.89
14922,80,3057,5.537963722888657,3.39990572919254,30.07
1262,101,1464,7.747686960207134,7.444841342409654,57.48
7287,85,2662,6.844548468020852,4.548324119461707,31.15
9815,73,1356,5.036127038369078,7.093737747559973,35.49
10208,116,2645,7.404967702935968,5.283835213142983,35.82
12835,96,3498,4.197642081757284,9.943957924911384,56.84
14168,117,2832,6.7184622984801825,7.560119222116749,44.54
3049,80,2094,6.122888630270208,9.57242170390892,48.01
6423,128,3344,5.107241496904645,8.514725945330671,71.62
12915,62,1712,7.124029986437001,9.12610910047034,20.18
5548,96,1415,8.728001554041695,8.329772774932074,51.23
4108,108,3372,9.49342819857846,5.132432173383203,61.98
14471,78,2906,7.146576612460547,3.2660960801219594,19.81
13282,71,3306,5.928235245975021,4.3328815790547,27.58
8158,120,2767,4.851242601297209,1.1821260937595541,49.7
11248,100,3408,5.042576536370671,5.715938507182004,47.3
8400,92,3353,6.376729868898594,5.5455202024336785,40.52
4170,109,2328,5.703666207684256,5.727254183474394,54.13
10874,127,1427,8.982887135749666,9.766281024748574,56.72
3255,92,2687,5.709772805934257,9.203086031093553,57.08
2154,83,2001,5.740667546872613,2.455415004970972,43.48
5499,120,2822,5.8012070746038615,4.319942694003003,56.73
7295,120,3105,8.519721262205948,4.815605615169357,51.76
7197,87,1671,7.404729925081411,4.244796260664829,29.49
12383,117,2279,7.185013101913356,8.186463672435217,38.89
10888,102,3260,5.5048581343031735,5.7163390288082825,44.7
13183,100,2241,8.407425060994637,6.1488983527446255,31.22
13915,98,3360,3.730183168134207,8.67712203089133,57.07
13874,108,1428,8.724783034028679,8.253353380738227,45.01
2648,76,1370,6.576499398763578,2.1899037053826973,39.52
6539,129,1494,5.889501409180477,7.425231256752708,62.85
10637,129,1388,6.483003684306114,4.91892516011832,48.28
5199,124,1625,7.504493183202986,3.651840127562504,49.35
13115,64,2176,3.576592559107384,1.450169388119677,23.69
9445,61,2302,8.729311138749487,5.385246043109059,16.83
12375,81,2118,6.180437151868357,4.198930126520782,22.53
3557,116,1698,5.557799118200469,3.2636173570876075,58.58
6592,125,3021,4.329473393804342,7.252045566372618,69.42
1098,75,2065,6.1367922461506526,7.925368485840283,48.43
3200,110,2025,6.477936627706273,3.203105671264823,49.69
3961,98,3058,5.921880166960866,1.4450269301141252,48.04
5973,99,3318,7.571960562961382,8.638774305087114,48.7
5433,97,3495,6.025379172555356,1.0896376708387299,46.24
12969,119,1345,9.26850546707944,9.434012445293249,54.86
3869,118,2841,7.095665106941551,6.648578865844353,57.11
12426,69,2519,8.344867613911454,3.8966197168118826,16.38
12983,123,1669,4.1561354186568735,3.218301186190626,52.63
1956,122,1392,5.883747757675434,1.081050978380277,62.6
14992,108,2291,5.521086208682917,3.119242753097894,35.84
13259,123,1251,6.91689432881955,2.23955471365427,40.57
9352,91,3020,8.666681120368555,6.509495986508311,36.81
6699,66,3069,3.97002930657204,2.498910297344212,38.91
7944,80,2986,3.935448788268265,5.7576685378295736,46.22
5493,79,2654,8.601906248945593,6.311047801100237,37.88
10492,85,3067,4.777100516230145,3.6823752851222307,36.52
5911,127,3207,7.512519526698882,1.3155845411684683,48.72
4987,74,2634,6.7572687941648315,1.3352849255277648,27.59
10719,73,2039,8.497361569323377,1.2371259897452584,13.65
7015,86,1440,4.250533459018421,7.652122004228916,52.18
14703,99,1735,4.278697794335668,3.862087343328683,42.19
14446,117,2607,6.840910161669846,8.166701673708973,43.1
2218,87,1282,9.178271920150225,4.885595414585643,53.81
5496,85,2181,5.9899865502245255,5.076982907469675,37.29
5735,122,2150,5.4616526015281694,5.615943422586164,56.23
12296,125,1810,7.140135939187315,7.417283107375935,43.78
11927,84,1773,9.082691603270186,3.4615257924673637,26.68
5555,62,2188,8.521566997067742,2.094286145801742,20.31
10146,103,1658,9.47290166439932,6.004516016723153,41.47
9050,101,3373,3.6354114992142623,3.9427986091846536,54.21
13757,65,2722,4.177148868276573,4.982421823012336,30.25
4446,98,3184,7.156806580199732,6.822520375035748,49.69
2045,111,2766,8.423458636003097,5.447131670271435,58.89
7893,82,3359,5.211466053840599,6.582509353907586,44.93
2693,109,1321,4.935266528205313,5.89780001902265,67.7
4436,102,1472,8.221854796287206,7.658167347424892,52.61
9754,78,2517,3.8382911231193892,7.35342955940458,40.11
11677,128,1597,5.71629588549551,5.807709026277573,51.41
6895,110,2184,6.534855335553979,7.110127187737362,44.81
4354,70,2430,6.862092046101941,8.862036420453514,36.65
1225,71,2333,7.871690940756661,4.890441590093517,36.87
5893,67,2501,5.62907434058395,4.714867654739143,32.01
8022,83,3110,7.176106068047643,7.878210587671421,35.24
10151,100,2705,7.012252536745738,6.242984533377946,32.83
6600,95,3116,6.785696603922482,1.6390610220032968,36.58
13740,114,2019,7.342899758853273,9.029008141219732,38.86
12259,68,3156,5.056695026408458,1.2770479201387612,24.91
8996,106,1378,4.007892521507774,7.735567205887688,57.61
10007,74,2096,4.215630032238461,7.829147284338816,34.97
13946,107,3466,4.847494295923406,9.577999767537374,57.51
8683,101,3172,6.501187613136711,1.4872096756208868,35.57
5642,119,2751,8.54265650327612,6.371711747060418,55.19
14503,129,1691,7.707760052530305,4.8505651356434765,41.8
12312,71,1260,8.234243625212283,3.9756965937358784,21.58
8679,61,2277,5.6058537435565485,1.8128670426916573,16.51
9208,66,2903,5.927922449891301,6.063887077041783,26.92
8339,62,1264,5.862091315943677,5.311366531071522,28.37
10435,62,1785,4.651239106427009,1.9409901233592184,21.2
3205,86,2927,3.867299948861432,6.512405563873751,61.65
11716,99,3418,7.045496556963361,7.641578082276446,39.82
2069,92,1734,9.435300100523516,7.905504709482834,58.66
4444,60,3355,4.500978229701577,9.148358694361846,51.49
11757,67,3070,3.7801089193956425,4.685236676998995,35.32
2060,91,2204,8.177190090943597,9.577654917599233,50.92
3327,107,2429,5.015516040108345,8.788864645744175,64.19
4420,63,2239,8.47786283211757,3.668514139215451,25.93
1301,129,1526,7.723620002207093,2.4335473361451263,61.27
13468,78,1807,9.174041222304828,4.918504565152121,26.49
1606,91,1201,5.953563414540032,4.6170883716037,56.61
4170,68,2233,7.471819036703804,6.181473747980839,27.67
1699,71,1324,6.289128684879624,6.250476090949732,47.64
6088,70,2304,7.2835321838512606,7.7498828594197775,27.57
10331,105,3061,6.197593436046424,5.589009533850492,40.8
1190,75,2373,4.631793478544449,1.94340376846689,47.04
11492,60,1328,6.547384496020285,8.724622019977955,24.56
1980,122,1637,6.671505208624654,3.7878812486666837,60.78
3975,80,1950,8.363623089560967,9.741677142759329,44.49
7102,89,2421,7.913124234761487,2.0607409781179316,26.53
2184,72,3458,7.4827497436486645,9.62426055009253,48.88
4327,93,2101,4.180322573315435,1.8191062619426528,48.41
4394,63,3292,7.82369774398229,3.0793252415235353,29.94
9319,87,2502,6.501830938127089,1.4192194787788743,22.72
11257,118,2633,8.864597216636955,7.3460183197509545,46.03
2816,86,1590,9.019225604783257,8.652688629146127,54.37
6854,128,2267,3.8309395436107128,4.906639736343823,63.23
7709,84,1226,8.423849362126873,9.356698675381868,42.16
1569,62,1747,3.7261843425360235,6.312691645800396,53.76
6442,127,1766,5.703017754170136,6.670064219018709,59.94
2895,84,1903,6.753799853726475,8.608772815306928,46.98
3733,79,2442,4.388604791762765,3.67120184546655,46.74
4863,93,1384,7.977882875414461,4.188391491948632,41.93
13913,85,2790,3.5501282250328314,9.153567272751799,48.73
8455,64,3113,4.511594290604221,9.108671464348873,41.2
5014,120,2047,6.984780979120854,9.788344985807838,56.61
12093,68,1798,7.786325372223754,9.11654484797504,21.63
2686,109,2005,8.999858616163497,2.146348324300248,51.5
4009,65,2557,7.732979911607743,8.413518575232885,33.65
8806,119,3326,7.530675621529196,4.688546302986347,44.12
1154,103,3078,5.866046878103986,9.91721220351344,70.34
11729,70,1745,3.5077065531608085,5.25052867895921,35.62
2409,125,2832,4.220955552413732,5.9845247425199855,77.07
13249,106,3416,6.707327268536234,5.767974237311186,41.68
1784,62,3279,7.550779315066518,3.8956332687245,35.79
12367,89,3126,6.004689703378775,1.6751988000362634,29.54
9096,80,1816,7.8840740691703415,9.060861073617266,29.3
8560,87,2403,6.631173771993073,8.22408231273658,33.41
13533,121,2959,3.945057173565873,2.2557410250370236,53.14
8343,92,1425,4.652097505807693,7.990914442150656,50.04
8206,94,1869,8.539989339463657,6.63261999445549,36.75
6596,111,2963,7.849476479746637,4.6822940912586,45.01
6801,93,2116,8.86857192207497,3.2861903418600646,34.56
3806,100,3373,4.20534349472562,8.737559051520092,71.23
1537,110,3321,9.441335207690443,7.301694333646477,71.87
6986,106,2414,4.756440283699602,5.929659185222231,51.51
2841,117,2905,3.570679257719852,6.486116805086177,77.12
14208,116,3042,9.484537634321324,1.8195956387396288,43.13
11647,82,3183,5.186443312670679,5.265277848200728,36.46
9716,107,1255,7.508116715075359,2.743302635071318,32.28
7971,81,1919,4.560093885057832,2.8754531110794286,35.25
6625,76,3279,6.9813711931948506,6.9517356605818,36.62
3950,128,1773,8.924209918727357,9.201305366508592,68.48
8992,70,1866,5.421087004570632,4.633809494305119,26.72
13323,74,1483,7.521523856266155,2.8697434571097133,15.93
5780,94,2944,4.627421532790499,6.838722435129888,55.47
13307,92,3434,7.248772392312351,8.84068341715286,37.72
3368,75,1697,5.5187021109050605,7.734869210102417,48.39
13039,93,2665,4.76724955152771,8.818815074829285,44.61
7655,125,1329,5.37909230422181,5.828992039097194,59.77
9173,99,1838,4.573046411046796,7.766886199322718,47.85
